locID,Female,Male
101,197227,194539
102,399278,388212
103,128806,129370
104,293346,280919
105,36244,34767
199,1909327,1830699
210,230338,220246
212,473389,419247
213,418823,376638
214,184325,165443
215,734856,630088
244,434857,366488
260,396644,358557
299,599121,552994
306,57568,58274
307,94284,92068
308,116616,120168
309,196589,185497
345,115833,108966
416,74600,71658
418,318016,309611
419,393068,343170
420,245694,242342
499,385245,362186
521,383323,339161
522,531843,485920
523,357664,311183
527,337200,288646
528,480122,427397
543,246953,214466
554,281262,229576
555,261127,238712
556,431375,372200
559,317801,289009
599,1759955,1682406
637,712977,794529
638,429300,413399
639,239097,224718
640,348676,347258
742,461126,455358
748,392820,428175
797,1550747,1627724
798,2209690,2225137
799,1468005,1453483
830,528789,514406
831,651882,656247
832,885212,803403
933,590926,501581
934,703226,591496
935,671220,590242
936,336168,343168
947,579191,497648
